,,,,,,Corsi (EV),,,,Fenwick (EV),,,,PDO (),,,Zone Starts (EV),,,,,,,,
131,Casey Cizikas,33,NYI,C,74,798,859,48.2,-1.8,569,600,48.7,-2,7.4,88.9,96.4,42,58,12:54,11:59,17,36,-5.1,167,49.1
132,Brandt Clarke,21,LAK,D,71,1141,955,54.4,2.2,822,666,55.2,2.1,10.6,89.7,100.3,60.5,39.5,16:07,14:16,24,58,5,246,48.8
133,Connor Clifton,29,BUF,D,65,733,869,45.8,-5.4,512,626,45,-5.5,12,89.8,101.8,31.7,68.3,15:42,12:52,23,62,-9.6,162,34
134,Nathan Clurman,26,PIT,D,1,19,7,73.1,30.1,15,5,75,29.5,0,100,100,50,50,11:05,11:05,0,0,1.1,4,100
135,Dylan Coghlan,26,WPG,D,6,83,96,46.4,-1.6,65,68,48.9,-2.8,7.7,94.9,102.6,41.7,58.3,15:21,14:32,2,8,0.4,23,39.1
136,Sam Colangelo,23,ANA,RW,25,256,353,42,-6.9,193,261,42.5,-5.6,13.1,88,101.1,45.8,54.2,12:19,11:08,1,13,-2.3,69,46.4
137,Ian Cole,35,UTA,D,76,1389,1288,51.9,-1.6,995,888,52.8,-0.1,8.6,90.4,99,49.5,50.5,20:18,17:26,23,107,-1.9,177,35
138,Blake Coleman,33,CGY,C,75,1172,1032,53.2,2.6,803,703,53.3,3.3,7.3,90.6,97.9,41.2,58.8,17:40,14:15,30,68,0.5,359,50.1
139,Ross Colton,28,COL,C,60,826,719,53.5,-1.2,575,494,53.8,-0.6,8,91.1,99.1,50.8,49.2,14:26,12:45,15,47,5.9,246,49.2
140,J.T. Compher,29,DET,LW,68,753,1025,42.4,-7.7,537,726,42.5,-7.2,10.3,91.7,102,46.5,53.5,16:44,13:41,16,47,-9.3,150,58.7
141,Lucas Condotta,27,MTL,F,7,49,50,49.5,-4.6,28,34,45.2,-7.4,13.3,84,97.3,40.7,59.3,8:12,7:55,0,2,-1.1,10,50
142,Kyle Connor,28,WPG,LW,76,1257,1339,48.4,-1.8,911,968,48.5,-2.8,13.4,90.3,103.7,64.9,35.1,20:23,16:44,30,73,5.1,444,55.4
143,Logan Cooley,20,UTA,C,69,1038,989,51.2,-2,716,684,51.1,-2,12,87.7,99.7,62.4,37.6,17:55,14:21,22,61,2.8,271,53.1
144,Andrew Copp,30,DET,C,56,647,737,46.7,-0.9,467,523,47.2,0.8,10.6,91.5,102.1,50.6,49.4,14:42,13:13,18,37,-2.5,119,57.1
145,Matthew Coronato,22,CGY,RW,70,1166,1045,52.7,1.7,814,726,52.9,2.6,8.3,91.5,99.9,47.9,52.1,17:29,15:00,20,45,-5.1,337,47.5
146,Paul Cotter,25,NJD,C,75,847,839,50.2,-1.1,587,612,49,-1.5,7.9,89.2,97.2,44.9,55.1,13:14,12:42,16,38,-1.7,194,44.3
147,Nick Cousins,31,OTT,C,47,534,507,51.3,-0.6,365,354,50.8,-2,8.5,90,98.5,40.3,59.7,11:54,11:48,5,23,0.2,116,54.3
148,Sean Couturier,32,PHI,C,73,1150,1091,51.3,3.7,821,737,52.7,2.8,11.4,87.9,99.3,50.8,49.2,17:04,15:11,26,74,11.5,237,59.1
149,Charlie Coyle,32,TOT,C/RW,78,1015,1093,48.1,-2.6,690,754,47.8,-2.6,9.4,90.1,99.5,38.5,61.5,16:54,13:11,41,48,0.4,208,49.5
149,Charlie Coyle,32,BOS,C/RW,64,851,943,47.4,-1.9,570,656,46.5,-2.5,8.8,89.4,98.1,36.8,63.2,17:38,13:36,38,42,-1.6,187,49.2
149,Charlie Coyle,32,COL,C/RW,14,164,150,52.2,-3.9,120,98,55,-0.9,12.3,95.2,107.5,47.7,52.3,13:32,11:17,3,6,2.1,21,52.4
150,Dylan Cozens,23,TOT,C,75,1099,1051,51.1,1,780,788,49.7,-0.6,10.5,86.9,97.5,53.4,46.6,17:02,14:06,14,63,-1.6,312,56.1
150,Dylan Cozens,23,BUF,C,61,910,859,51.4,1,641,647,49.8,-0.9,10.6,86.6,97.2,54.2,45.8,17:13,14:17,13,56,-1.2,253,54.9
150,Dylan Cozens,23,OTT,C,14,189,192,49.6,0.8,139,141,49.6,1.2,10.3,88.1,98.4,49.1,50.9,16:13,13:19,1,7,-0.4,59,61
151,Louis Crevier,23,CHI,D,30,343,504,40.5,-2.5,244,361,40.3,-1.4,10.3,90.3,100.7,34.4,65.6,17:30,15:53,3,29,-7.7,69,40.6
152,Angus Crookshank,25,OTT,LW,3,30,18,62.5,9.2,19,14,57.6,7.6,7.1,81.8,89,36.4,63.6,9:11,9:05,0,2,0.1,7,71.4
153,Sidney Crosby,37,PIT,C,74,1452,1311,52.6,4.1,1046,974,51.8,4,11.5,85.5,96.9,60.9,39.1,20:25,17:15,27,78,-0.9,384,53.6
154,Lawson Crouse,27,UTA,LW,75,914,816,52.8,0.1,643,578,52.7,0,7.4,91.1,98.5,48.6,51.4,13:55,12:01,15,54,3.4,226,53.1
155,Maxwell Crozier,24,TBL,D,5,84,77,52.2,1.3,60,62,49.2,-4.9,7.9,92.5,100.4,39.6,60.4,16:41,16:36,0,6,0.7,20,45
156,William Cuylle,22,NYR,LW,75,935,1012,48,-1.1,678,724,48.4,-0.6,11.4,90,101.4,50.5,49.5,15:05,13:11,9,42,-6,240,56.3
157,Colton Dach,22,CHI,C,25,221,318,41,-0.5,162,239,40.4,-0.2,11.5,90.4,102,49.7,50.3,12:08,11:28,13,12,-5.7,47,57.4
158,Kirby Dach,24,MTL,C/RW,57,658,810,44.8,-4.9,469,565,45.4,-3.9,7.8,87.5,95.4,63.4,36.6,15:40,13:09,10,39,-5,155,54.2
159,Evgenii Dadonov,35,DAL,RW,73,875,949,48,-2.7,609,689,46.9,-2.6,12.8,90.1,102.9,50,50,13:34,12:33,9,63,4,211,53.6
160,Rasmus Dahlin,24,BUF,D,65,1490,1237,54.6,8.5,1052,888,54.2,8.3,10.8,88.8,99.6,56.3,43.7,24:14:00,20:17,32,91,6.3,387,45.2
161,Phillip Danault,31,LAK,C,74,1197,947,55.8,3.8,878,653,57.3,5.1,10.3,90.3,100.7,49.1,50.9,17:45,14:34,24,81,3.8,224,52.2
162,Justin Danforth,31,CBJ,RW/C,53,616,702,46.7,-3.3,424,485,46.6,-3.9,8.3,89.8,98.1,42.3,57.7,14:35,12:27,7,25,-4.3,125,66.4
163,Calvin de Haan,33,TOT,D,47,652,634,50.7,-2.8,460,420,52.3,-0.7,8.9,88.6,97.6,34.1,65.9,14:58,14:01,7,35,-1.4,146,34.9
163,Calvin de Haan,33,COL,D,44,605,591,50.6,-3.5,423,394,51.8,-1.8,8.4,87.8,96.2,31.3,68.7,14:55,13:57,5,35,-1.8,135,35.6
163,Calvin de Haan,33,NYR,D,3,47,43,52.2,7.6,37,26,58.7,14.4,14.3,100,114.3,76.5,23.5,15:51,14:47,2,0,0.4,11,27.3
164,Tony DeAngelo,29,NYI,D,27,606,578,51.2,2.4,432,409,51.4,1,9.6,88.5,98.1,54,46,23:30,20:09,6,33,0,125,44.8
165,Alex DeBrincat,27,DET,RW,74,1111,1090,50.5,4,810,786,50.8,4.7,8.4,88.5,97,55.5,44.5,17:49,14:46,27,69,2.8,404,53.7
166,Jake DeBrusk,28,VAN,LW,75,992,1046,48.7,-1,690,735,48.4,-0.9,10.9,86.3,97.2,51.2,48.8,16:44,14:07,11,43,8.3,280,56.4
167,Luca Del Bel Belluz,21,CBJ,C,15,138,203,40.5,-2.5,101,131,43.5,-0.3,17.9,87,104.9,50.5,49.5,13:45,12:57,3,9,-0.3,30,60
168,Marc Del Gaizo,25,NSH,D,40,611,631,49.2,-1.8,424,426,49.9,-0.1,7.8,91,98.8,46.6,53.4,16:50,15:51,17,30,1.1,139,46.8
169,Ethan Del Mastro,22,CHI,D,23,321,362,47,4.3,217,264,45.1,3.7,9.4,90.4,99.8,45.7,54.3,18:12,17:57,5,24,-4,47,38.3
170,Ty Dellandrea,24,SJS,C,61,517,730,41.5,-6.4,342,516,39.9,-7.9,5.6,89.3,94.9,41.1,58.9,11:50,10:45,9,30,-10.4,101,43.6
171,Dylan DeMelo,31,WPG,D,76,1388,1399,49.8,0.3,1035,1005,50.7,0.6,11.1,92.4,103.5,57.2,42.8,21:30,19:14,29,81,7.3,175,38.9
172,Grigori Denisenko,24,VEG,LW,1,7,6,53.8,-0.9,3,5,37.5,-16.7,0,100,100,62.5,37.5,8:27,8:27,0,0,0.1,2,0
173,Travis Dermott,28,TOT,D,19,200,226,46.9,-3.6,135,159,45.9,-4.9,5.4,93,98.4,47.6,52.4,12:16,11:49,3,9,-1.6,24,33.3
173,Travis Dermott,28,EDM,D,10,111,132,45.7,-10.4,71,86,45.2,-10.8,4.1,92.2,96.3,49.3,50.7,13:05,12:44,1,6,-1.8,12,25
173,Travis Dermott,28,MIN,D,9,89,94,48.6,4.4,64,73,46.7,1.7,7,94,101,45.1,54.9,11:23,10:48,2,3,0.2,12,41.7
174,Vincent Desharnais,28,TOT,D,51,611,702,46.5,-4.2,416,483,46.3,-3.9,7.9,89.9,97.9,50.5,49.5,15:55,14:25,3,40,-4.8,92,30.4
174,Vincent Desharnais,28,VAN,D,34,413,467,46.9,-2.3,276,323,46.1,-3.1,8.1,90,98.1,52,48,15:58,14:41,3,30,-2.6,63,31.7
174,Vincent Desharnais,28,PIT,D,10,125,130,49,-6.5,90,88,50.6,-1.5,4,87.5,91.5,49.2,50.8,14:24,13:05,0,4,-0.8,25,28
174,Vincent Desharnais,28,SJS,D,7,73,105,41,-8.6,50,72,41,-10.9,13.8,92.3,106.1,44.9,55.1,17:49,15:01,0,6,-1.4,4,25
175,Nick DeSimone,30,UTA,D,16,225,221,50.4,-3.9,175,161,52.1,-2.3,6.5,94.5,101,55.1,44.9,15:29,15:14,5,23,1.2,38,52.6
176,Nicolas Deslauriers,33,PHI,LW,25,177,152,53.8,6.5,120,105,53.3,5.6,8.7,81.8,90.5,54.1,45.9,7:09,7:08,1,9,-0.9,42,40.5
177,Connor Dewar,25,TOT,C,42,324,414,43.9,-4.4,229,277,45.3,-3.1,7,92.1,99.2,30.1,69.9,11:22,9:51,6,29,-2.8,90,52.2
177,Connor Dewar,25,TOR,C,31,193,271,41.6,-7.9,136,186,42.2,-7.5,3.4,93.7,97.1,19.3,80.7,9:58,8:37,4,19,-2.1,53,52.8
177,Connor Dewar,25,PIT,C,11,131,143,47.8,3.5,93,91,50.5,6.4,12.7,89.6,102.3,45.6,54.4,15:16,13:18,2,10,-0.6,37,51.4
178,Phillip Di Giuseppe,31,VAN,LW,20,199,190,51.2,3.6,139,150,48.1,0.7,9.3,88.4,97.7,49,51,11:34,10:47,1,4,-2.1,38,60.5
179,Jason Dickinson,29,CHI,C,59,587,764,43.4,-1.6,388,551,41.3,-4,11.3,89.1,100.4,34,66,15:42,13:11,13,26,-11.1,150,37.3
180,Brenden Dillon,34,NJD,D,76,1254,1272,49.6,-2.1,869,924,48.5,-2.4,10.7,90.2,100.9,55.2,44.8,18:29,15:51,6,65,-4.4,164,27.4
181,Cam Dineen,26,EDM,D,1,29,11,72.5,16.9,22,9,71,12.3,0,83.3,83.3,90,10,14:56,14:53,1,0,-0.1,11,36.4
182,Josh Doan,22,UTA,RW,45,602,444,57.6,4.9,421,322,56.7,4,7.9,89.1,97,55.6,44.4,13:35,12:08,8,21,7.1,161,44.1
183,Noah Dobson,25,NYI,D,63,1343,1180,53.2,5.8,961,831,53.6,5.8,9,88.1,97.1,53.7,46.3,23:28,19:47,32,94,8.5,405,45.2
184,Max Domi,29,TOR,LW,67,842,901,48.3,0.2,618,620,49.9,1.7,10.2,90.6,100.8,57.1,42.9,14:11,12:57,18,60,3.8,173,51.4
185,Ryan Donato,28,CHI,C,73,939,1088,46.3,3.4,670,797,45.7,3.4,11.8,87.2,99,49.7,50.3,16:09,14:09,22,42,-5.1,309,54.7
186,Pavel Dorofeyev,24,VEG,LW,75,1134,982,53.6,3.8,855,695,55.2,5.2,9,88.3,97.3,62.9,37.1,16:24,14:18,19,46,12.4,385,58.7
187,Drew Doughty,35,LAK,D,27,598,575,51,-4.3,421,402,51.2,-5,11.2,92.5,103.6,54.3,45.7,24:23:00,20:32,7,43,-2.2,103,38.8
188,Nic Dowd,34,WSH,C,75,869,950,47.8,-3.6,613,636,49.1,-2.9,10.9,91.4,102.2,13.8,86.2,15:12,12:32,28,42,0.6,151,51
189,Justin Dowling,34,NJD,C,48,399,435,47.8,-4.5,294,303,49.2,-1.8,6.6,91.1,97.6,50,50,10:05,0.416666667,10,27,-3.8,77,40.3
190,Leon Draisaitl,29,EDM,C,71,1579,1106,58.8,8,1184,824,59,7.8,10.7,89.9,100.7,60.6,39.4,21:31,18:11,35,88,27.5,417,57.8
191,Jonathan Drouin,29,COL,LW,43,813,541,60,6.3,564,399,58.6,4.9,11.7,85.9,97.6,63.5,36.5,18:11,15:05,15,35,4.8,113,49.6
192,Jack Drury,24,TOT,C,67,793,585,57.5,-0.6,557,401,58.1,0.9,8,90.7,98.7,47.7,52.3,12:44,10:33,12,31,2,178,50
192,Jack Drury,24,CAR,C,39,459,295,60.9,1.2,329,215,60.5,2,8,90.5,98.6,56.3,43.8,12:53,10:14,4,19,1.6,119,50.4
192,Jack Drury,24,COL,C,28,334,290,53.5,-2.5,228,186,55.1,-0.3,8,90.9,98.9,33.9,66.1,12:32,11:00,8,12,0.5,59,49.2
193,Jamie Drysdale,22,PHI,D,64,1090,1170,48.2,-0.9,779,784,49.8,-0.9,10.2,85.3,95.5,60.9,39.1,19:58,17:37,20,65,4.8,173,33.5
194,Pierre-Luc Dubois,26,WSH,LW,75,1232,1085,53.2,3.9,902,747,54.7,4.9,14.8,89.3,104.1,47.3,52.7,17:22,15:07,10,58,14.2,262,49.6
195,Matt Duchene,34,DAL,C,75,1185,1119,51.4,2.1,843,825,50.5,2.5,12.4,90.3,102.7,52.7,47.3,17:11,14:38,20,73,5.4,281,51.2
196,Anthony Duclair,29,NYI,LW,44,604,632,48.9,-3.2,439,450,49.4,-3.2,6.6,88.7,95.3,50.6,49.4,15:03,13:19,9,43,-3.4,121,49.6
197,Walker Duehr,27,TOT,F,24,174,226,43.5,-9.2,124,153,44.8,-8.2,5.1,85.1,90.2,52.6,47.4,8:48,8:33,0,12,-2.7,33,45.5
197,Walker Duehr,27,CGY,F,16,109,143,43.3,-12.2,74,98,43,-12.4,4.3,86.7,90.9,53.5,46.5,8:48,8:26,0,6,-2,22,40.9
197,Walker Duehr,27,SJS,F,8,65,83,43.9,-3.4,50,55,47.6,-0.4,6.3,82.9,89.2,51.2,48.8,8:49,8:47,0,6,-0.7,11,54.5
198,Brandon Duhaime,27,WSH,RW,75,751,826,47.6,-3.6,522,554,48.5,-3.5,9,92.6,101.5,14.4,85.6,13:21,11:03,10,36,-2.6,163,47.2
199,Dylan Duke,21,TBL,LW,2,7,14,33.3,-2.1,3,12,20,-17.6,33.3,88.9,122.2,26.7,73.3,7:52,7:52,0,0,-0.8,1,100
200,Mathew Dumba,30,DAL,D,56,841,785,51.7,3.4,563,575,49.5,2.3,10.9,89.8,100.7,54.2,45.8,15:11,14:24,14,54,3.7,175,25.1
201,Brian Dumoulin,33,TOT,D,74,1111,1370,44.8,-1.9,784,997,44,-2.7,10.2,92.2,102.4,42.3,57.7,19:32,17:20,24,50,-13.1,152,43.4
201,Brian Dumoulin,33,ANA,D,61,907,1183,43.4,-3.2,644,864,42.7,-4.4,9.9,92.9,102.8,42.1,57.9,19:48,17:26,19,40,-12.8,135,42.2
201,Brian Dumoulin,33,NJD,D,13,204,187,52.2,5.4,140,133,51.3,6.5,11.7,87.8,99.5,44.3,55.7,18:18,16:52,5,10,-0.3,17,52.9
202,Vince Dunn,28,SEA,D,56,1187,1131,51.2,5.3,851,829,50.7,4,11.6,87.2,98.8,54.1,45.9,22:04,19:24,22,73,3.1,286,44.8
203,Joshua Dunne,26,BUF,C,2,7,21,25,-21.8,6,16,27.3,-24.8,0,75,75,44.4,55.6,7:06,7:06,0,0,-1.7,4,25
204,Sean Durzi,26,UTA,D,24,458,400,53.4,-0.3,318,275,53.6,0.4,10.7,87.6,98.3,55.8,44.2,20:11,17:50,9,38,4.6,108,26.9
205,Christian Dvorak,28,MTL,C,75,876,1023,46.1,-1.8,594,703,45.8,-2.4,10.3,89.6,99.9,38,62,0.625,12:21,18,57,-1.8,206,48.1
206,Dalibor Dvorsky,19,STL,C,1,7,15,31.8,-10.3,5,12,29.4,-13.4,0,100,100,100,0,10:40,10:07,0,0,-1,0,
207,Jordan Eberle,34,SEA,RW,36,478,508,48.5,-1.3,347,354,49.5,-0.4,12.9,86.7,99.6,48.1,51.9,16:05,13:41,20,25,1.7,110,50
208,Joel Edmundson,31,LAK,D,71,1316,1291,50.5,-3.9,951,906,51.2,-3.7,12.3,91.6,103.9,52.9,47.1,20:37,18:24,23,60,-5.5,234,38
209,Adam Edstrom,24,NYR,C,51,378,460,45.1,-4.5,273,320,46,-3.4,8.4,90.7,99.1,24.8,75.2,9:16,9:11,7,19,-3.7,72,55.6
210,Simon Edvinsson,21,DET,D,70,1213,1321,47.9,0,860,942,47.7,-0.3,10.6,91.7,102.4,46.4,53.6,20:55,19:05,22,84,-2.6,188,38.3
211,Nikolaj Ehlers,28,WPG,LW,67,958,847,53.1,4.7,715,598,54.5,5.5,12.2,90.1,102.2,63.4,36.6,15:56,13:20,16,50,9.4,357,48.2
212,Jack Eichel,28,VEG,C,74,1278,1201,51.6,1.2,926,848,52.2,1.3,13.1,90.6,103.7,58,42,20:33,16:14,28,87,12.6,392,57.4
213,Aaron Ekblad,28,FLA,D,56,1223,964,55.9,1.1,897,725,55.3,1.6,8.7,91.1,99.8,52.9,47.1,23:31,18:23,23,57,8.8,291,36.4
214,Mattias Ekholm,34,EDM,D,64,1504,999,60.1,10.5,1074,735,59.4,8.7,9.5,87.5,97,61.1,38.9,22:31,19:24,35,83,22.8,327,43.7
215,William Eklund,22,SJS,LW,70,1192,1136,51.2,7.7,838,775,52,8.3,10.6,87.9,98.5,54.4,45.6,19:34,15:33,15,71,1.1,293,46.1
216,Oliver Ekman-Larsson,33,TOR,D,74,1334,1364,49.4,2.5,978,998,49.5,1.4,10.5,91,101.5,55.2,44.8,20:58,18:26,28,87,3.5,277,41.2
217,Lars Eller,35,TOT,C,73,842,787,51.7,0.3,592,553,51.7,0.4,9.3,90.7,99.9,45.2,54.8,13:22,11:57,13,44,-0.7,180,50
217,Lars Eller,35,WSH,C,56,635,549,53.6,3,441,383,53.5,2.4,9.1,92,101,49,51,12:26,11:35,11,32,1.6,128,49.2
217,Lars Eller,35,PIT,C,17,207,238,46.5,-7,151,170,47,-4.8,9.8,88,97.8,34.9,65.1,16:25,13:10,2,12,-2.3,52,51.9
218,Ty Emberson,24,EDM,D,69,785,832,48.5,-7.1,559,585,48.9,-7,9,89.1,98,46.6,53.4,14:52,12:54,31,42,-2.1,138,42
219,Andreas Englund,29,TOT,D,30,299,319,48.4,-5.1,226,217,51,-2.1,6,85.2,91.2,35.7,64.3,13:09,12:33,4,21,-0.5,39,43.6
219,Andreas Englund,29,NSH,D,19,202,229,46.9,-5,149,154,49.2,-2.3,5.9,83.3,89.2,31.2,68.8,14:47,14:00,3,13,-0.2,32,40.6
219,Andreas Englund,29,LAK,D,11,97,90,51.9,-4,77,63,55,-0.7,6.4,89.7,96.1,48.8,51.2,10:21,10:03,1,8,-0.3,7,57.1
220,Pierre Engvall,28,NYI,LW,54,560,567,49.7,0.2,402,376,51.7,1.7,7.4,88.2,95.7,46.7,53.3,11:27,11:24,6,31,-2.8,125,56.8
221,Joel Eriksson Ek,28,MIN,C/LW,42,629,613,50.6,5.2,458,446,50.7,4.9,9.7,92.3,102.1,41,59,19:38,14:41,13,29,-0.7,191,64.4
222,Luke Evangelista,22,NSH,RW,62,779,660,54.1,3.8,560,463,54.7,5.8,7,90.6,97.6,56.8,43.2,13:43,12:29,14,31,4.5,183,62.3
223,Jake Evans,28,MTL,C/RW,75,838,977,46.2,-1.7,571,681,45.6,-2.7,11.4,88.2,99.7,29.9,70.1,15:26,12:36,14,54,-6,157,46.5
224,Ryker Evans,23,SEA,D,68,1060,1206,46.8,-1.8,786,852,48,-0.3,9.6,89.6,99.1,50.5,49.5,19:27,17:47,10,66,-6.9,164,36
225,Michael Eyssimont,28,TOT,C,71,698,657,51.5,1.6,503,472,51.6,1.5,7.8,92.6,100.4,47.1,52.9,10:33,10:29,9,29,5.7,235,56.2
225,Michael Eyssimont,28,TBL,C,57,540,522,50.8,0.6,387,373,50.9,0.8,7.1,92.9,100,48.1,51.9,10:41,10:36,6,22,4.2,175,56
225,Michael Eyssimont,28,SEA,C,14,158,135,53.9,5.6,116,99,54,4.2,10,91.7,101.7,41.1,58.9,10:04,10:02,3,7,1.6,60,56.7
226,Robby Fabbri,29,ANA,C,44,605,810,42.8,-3.2,436,597,42.2,-4.3,8.2,92.8,101,43.6,56.4,16:12,14:09,14,30,-10.2,111,58.6
227,Dante Fabbro,26,TOT,D,60,1204,1201,50.1,1.9,873,838,51,2.6,10.6,91.2,101.8,51.3,48.7,20:56,19:15,20,73,2.8,190,39.5
227,Dante Fabbro,26,CBJ,D,54,1113,1118,49.9,2.4,804,771,51,3.1,11.2,91.6,102.8,50.9,49.1,21:49,19:59,19,61,2.2,176,38.6
227,Dante Fabbro,26,NSH,D,6,91,83,52.3,-1.3,69,67,50.7,-2,3.8,86.5,90.3,56.9,43.1,13:06,12:40,1,12,0.7,14,50
228,Brock Faber,22,MIN,D,72,1368,1646,45.4,-2.5,960,1159,45.3,-3.5,8.9,91.9,100.8,47.4,52.6,25:22:00,20:56,25,100,-10.4,263,39.9
229,Radek Faksa,31,STL,C,65,611,678,47.4,-1.4,414,457,47.5,-1.3,9.1,92.4,101.5,29.2,70.8,12:59,11:32,12,28,-0.5,133,45.9
230,Adam Fantilli,20,CBJ,C,74,1114,1190,48.4,-0.3,790,855,48,-1.4,11.5,89.8,101.3,60.6,39.4,17:40,15:38,22,83,-8.1,355,47.9
231,Joel Farabee,24,TOT,LW,74,972,1006,49.1,-0.5,685,668,50.6,-0.4,7,89.6,96.6,48.2,51.8,15:07,13:16,17,62,1.2,233,59.7
231,Joel Farabee,24,PHI,LW,50,628,683,47.9,-1.1,462,452,50.5,-0.5,8.2,88.4,96.5,49.2,50.8,15:12,13:32,15,45,0.3,161,61.5
231,Joel Farabee,24,CGY,LW,24,344,323,51.6,0.6,223,216,50.8,0,4.5,92.3,96.8,46.6,53.4,14:54,12:43,2,17,0.9,72,55.6
232,Hudson Fasching,29,NYI,RW,35,348,326,51.6,0.8,244,223,52.2,1.7,3.1,91.8,94.8,46,54,10:25,10:22,7,23,1,60,50
233,Justin Faulk,32,STL,D,73,1212,1353,47.3,-2.7,840,953,46.8,-3.3,8,92.2,100.2,49.9,50.1,22:27,19:05,26,93,5.2,273,42.1
234,Martin Fehérváry,25,WSH,D,75,1141,1178,49.2,-1.9,810,797,50.4,-1.3,12,90.9,102.9,42.6,57.4,18:59,15:50,9,56,0,181,38.1
235,Tye Felhaber,26,COL,F,5,29,24,54.7,4,21,17,55.3,5.4,0,85.7,85.7,66.7,33.3,5:31,5:29,1,0,0.4,4,50
236,Mario Ferraro,26,SJS,D,75,1289,1499,46.2,0.3,920,1073,46.2,0.1,8.3,89.1,97.5,41.4,58.6,21:24,18:38,36,73,-9.2,191,37.7
237,Kevin Fiala,28,LAK,LW,74,1307,966,57.5,6.3,942,664,58.7,7,8.1,88.6,96.7,54.7,45.3,18:30,15:37,27,83,8.8,457,47.5
238,Jack Finley,22,TBL,C,1,7,4,63.6,-1.4,6,3,66.7,0.4,20,100,120,100,0,8:25,8:25,0,1,0.1,1,100
239,Christian Fischer,27,TOT,RW,46,367,495,42.6,-4.8,241,349,40.8,-5.7,7,92.2,99.2,39.8,60.2,11:07,10:24,4,15,-5.5,66,47
239,Christian Fischer,27,DET,RW,45,360,484,42.7,-4.5,236,340,41,-5.4,7.1,92.4,99.6,40.3,59.7,11:09,10:25,4,14,-5,65,47.7
239,Christian Fischer,27,CBJ,RW,1,7,11,38.9,-22,5,9,35.7,-21.7,0,85.7,85.7,16.7,83.3,9:39,9:39,0,1,-0.5,1,0
240,Cale Fleury,26,SEA,D,13,173,156,52.6,3.5,129,104,55.4,6.7,7.5,92.8,100.3,55,45,12:51,11:46,3,7,0.1,33,48.5
241,Haydn Fleury,28,WPG,D,37,475,519,47.8,-2.5,339,374,47.5,-3,6.1,90.4,96.5,37.5,62.5,15:53,14:27,3,35,-5.4,101,36.6
242,Warren Foegele,28,LAK,LW,75,1122,948,54.2,1.4,795,657,54.8,1.3,11.2,93.1,104.3,51.5,48.5,16:10,13:58,32,60,6.7,340,54.7
243,Tyson Foerster,23,PHI,RW,75,912,973,48.4,-0.3,651,660,49.7,-1.4,10.2,88.6,98.8,40.2,59.8,16:49,14:04,14,36,4.8,263,47.9
244,Marcus Foligno,33,MIN,LW,71,855,792,51.9,6.7,596,571,51.1,5.1,10.4,91.1,101.5,46.2,53.8,14:22,12:37,19,46,1.5,137,55.5
245,Nick Foligno,37,CHI,LW,71,804,921,46.6,3,562,686,45,1.8,10.4,86.8,97.3,41.1,58.9,16:04,13:18,13,45,-6.2,149,63.1
246,Nolan Foote,24,NJD,LW,5,43,33,56.6,1.9,34,22,60.7,7.7,9.5,85.7,95.2,50,50,9:12,9:08,0,1,0.4,8,25
247,Derek Forbort,32,VAN,D,49,613,706,46.5,-4.4,409,483,45.9,-4.5,7.8,89.6,97.4,38.7,61.3,17:16,14:57,7,49,-4.3,108,32.4
248,Parker Ford,24,WPG,F,3,14,20,41.2,-3.8,11,13,45.8,-2.4,33.3,87.5,120.8,30,70,7:50,7:34,2,2,0.4,4,50
249,Filip Forsberg,30,NSH,C,76,1321,1176,52.9,2.1,944,887,51.6,1.4,10.1,86.8,96.9,63.8,36.2,18:38,15:27,37,102,2.4,571,46.8
250,Gustav Forsling,28,FLA,D,75,1694,1369,55.3,-0.6,1227,1024,54.5,-0.1,9,92.5,101.5,53.5,46.5,22:59,19:46,35,67,7,389,46
251,Liam Foudy,24,NYI,C,2,6,14,30,-25,5,11,31.3,-24.5,0,85.7,85.7,66.7,33.3,7:27,7:27,1,0,-0.5,3,33.3
252,Cam Fowler,33,TOT,D,63,1174,1160,50.3,3.2,807,812,49.8,2,12.1,89.9,102.1,49.4,50.6,21:39,18:53,15,59,5.3,188,42
252,Cam Fowler,33,STL,D,46,849,793,51.7,3.1,589,543,52,2.9,13.7,89.7,103.3,47.5,52.5,21:52,19:13,11,44,10,147,42.2
252,Cam Fowler,33,ANA,D,17,325,367,47,3.8,218,269,44.8,0.2,7.7,90.5,98.2,54.7,45.3,21:04,17:57,4,15,-4.7,41,41.5
253,Adam Fox,26,NYR,D,67,1399,1128,55.4,10.9,989,810,55,10.4,10.8,88.8,99.6,62.4,37.6,23:21,18:16,34,67,4.1,304,37.8
254,Ethen Frank,26,WSH,F,22,215,192,52.8,4,158,122,56.4,6.9,11,92.9,103.9,54.7,45.3,10:38,9:59,5,9,2.6,39,53.8
255,Trent Frederic,26,BOS,C,57,679,746,47.6,-1.2,452,531,46,-2.5,6.3,90.1,96.4,43.5,56.5,13:50,12:31,12,32,-2.2,165,46.1
256,Mark Friedman,29,VAN,D,5,56,65,46.3,-1.7,38,44,46.3,-0.3,6.9,81.3,88.1,53.3,46.7,14:04,13:43,2,1,0.1,8,50
257,Morgan Frost,25,TOT,C,74,953,965,49.7,-0.1,655,630,51,-0.1,8.5,87.8,96.3,65,35,15:53,13:19,32,61,-0.4,252,51.6
257,Morgan Frost,25,PHI,C,49,589,608,49.2,0.1,408,386,51.4,0,10.1,86.6,96.8,70.8,29.2,15:11,12:55,19,37,3.3,156,55.1
